Date,PersonID,AnnualIncome,TaxRate,TaxPaid,Year,Month,Quarter
2021-01-01,8270,28887.32457923268,0.21258774472635317,6141.091183477225,2021,1,1
2021-01-02,1860,38332.74968613687,0.28720658424082657,11009.418101913987,2021,1,1
2021-01-03,6390,33341.36231801257,0.2627868962204185,8761.673119310943,2021,1,1
2021-01-05,6191,76284.05665135435,0.25523214186960774,19470.143169627667,2021,1,1
2021-01-06,6734,64035.17589721191,0.18809373665241358,12044.615511701159,2021,1,1
2021-01-08,7265,69073.32642491237,0.31036188827118993,21437.728018408085,2021,1,1
2021-01-09,1466,60825.08096064853,0.21782179184954115,13249.028124241871,2021,1,1
2021-01-11,5426,33064.22343174156,0.3447762345037886,11399.758451587788,2021,1,1
2021-01-12,6578,42132.196005803395,0.2585355345739342,10892.669817134156,2021,1,1
2021-01-14,9322,57340.61841841877,0.1315661853911257,7544.086433279481,2021,1,1
2021-01-15,2685,31668.082866620818,0.2690443905188585,8520.120053750703,2021,1,1
2021-01-17,1769,60694.97645258582,0.18127600385792475,11002.542785575599,2021,1,1
2021-01-18,7949,46395.119027627974,0.27158179917152436,12600.06989830023,2021,1,1
2021-01-19,3433,44377.68788675604,0.11741028704060144,5210.397072982248,2021,1,1
2021-01-21,6311,60664.39952305237,0.14372035929398985,8718.709295807234,2021,1,1
2021-01-22,6051,56663.9496722906,0.31393431472644656,17788.758210064403,2021,1,1
2021-01-24,7420,44585.507512713804,0.15679488925587873,6990.77971287311,2021,1,1
2021-01-25,2184,67389.94705046373,0.309260281310735,20841.03398234195,2021,1,1
2021-01-27,5555,33784.05008600154,0.1698190221136026,5737.174348641754,2021,1,1
2021-01-28,4385,59239.034104163955,0.26072047751467686,15444.829259145854,2021,1,1
2021-01-30,7396,58896.51886952575,0.27353764337745773,16110.414974706046,2021,1,1
2021-01-31,9666,45356.803410290144,0.2281636882862632,10348.77555496676,2021,1,1
2021-02-02,3558,54891.99533363177,0.1763276691741828,9678.977593499409,2021,2,1
2021-02-03,8849,31233.296354220456,0.15316109409277404,4783.7258417362555,2021,2,1
2021-02-05,3047,63860.40528810352,0.10829733864060656,6915.911937212129,2021,2,1
2021-02-06,3747,47226.46795335517,0.17598660031018093,8311.225539768684,2021,2,1
2021-02-07,1189,42159.154692214404,0.26329069763282076,11100.11325052314,2021,2,1
2021-02-09,3734,65735.13838755334,0.3345762046121207,21993.413111360114,2021,2,1
2021-02-10,4005,39434.84464185861,0.317801120565763,12532.437816519441,2021,2,1
2021-02-12,5658,28873.080554546606,0.2915161941338256,8416.970556180793,2021,2,1
2021-02-13,2899,26650.562397141442,0.2971118358133247,7918.197519272253,2021,2,1
2021-02-15,8734,59090.14927018459,0.2662462258689988,15732.529229222422,2021,2,1
2021-02-16,2267,30793.559712555754,0.16507171439150076,5083.145693968628,2021,2,1
2021-02-18,2528,76321.91272976546,0.32679875767645744,24941.906263578356,2021,2,1
2021-02-19,4556,18771.058881744168,0.2676830779764585,5024.694818342618,2021,2,1
